property,ID,property_id,active_property,room_type,hotel_name,link,room_id,lastcheck
1,7134,846,All American Inn and Suites,Family Suite,All American Inn Fam Suite,https://www.expedia.com/Branson-Hotels-All-American-Inn-And-Suites.h23829.Hotel-Information?regionId=6058734&rm1=a1&sort=recommended&vip=false&hotelname=american&&exp_dp=79.99&exp_ts=1522850886649&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,,
,7010,846,All American Inn and Suites,King Jacuzzi,All American Inn K Jac,,,
,7117,846,All American Inn and Suites,King Room,All American Inn King,,383227,
,9806,846,All American Inn and Suites,Single Q,All American Inn Q Handi,,201105344,
,7008,846,All American Inn and Suites,QQ Room,All American Inn QQ,,383226,TRUE
2,10103,7543,America's Best Value Inn,DD Room,America’s Best Value Inn DD,https://www.expedia.com/Branson-Hotels-Americas-Best-Value-Inn-And-Suites-Branson.h4738577.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=americas+best&&exp_dp=38.66&exp_ts=1522850612145&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,200384825,
,10119,7543,America's Best Value Inn,Family Triple,America’s Best Value Inn Family (DDD),,200384828,
,10120,7543,America's Best Value Inn,Family Suite,America’s Best Value Inn Family Suite,,200384814,
,10104,7543,America's Best Value Inn,King Room,America’s Best Value Inn King,,200838328,
,10102,7543,America's Best Value Inn,Single Q,America’s Best Value Inn Q,,200384819,TRUE
3,7222,693,Barrington Hotel & Suites,King Jac,Barrington Inn King Jacuzzi,https://www.expedia.com/Branson-Hotels-Barrington-Hotel-Suites.h42236.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=Barrington+Hotel+%26+Suites&&exp_dp=67&exp_ts=1522851067122&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,98306,
,7221,693,Barrington Hotel & Suites,Single Q Handicap,Barrington Inn Q Handicap,,201904026,
,7180,693,Barrington Hotel & Suites,QQ Room ,Barrington Inn QQ Room,,472201,TRUE
4,7394,926,Baymont Inn & Suites,QQ Room ,Baymont Inn & Suites QQ,https://www.expedia.com/Branson-Hotels-Baymont-Inn-And-Suites-Branson-On-The-Strip.h15612.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=Baymont+Inn+and+Suites+Branson+-+on+The+Strip&&exp_dp=63.99&exp_ts=1522851086199&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,440402,TRUE
5,9673,1561,Branson Yellow Rose Inn and Suites,King Room,Branson Yellow Rose Inn King,https://www.expedia.com/Branson-Hotels-Branson-Yellow-Rose-Inn-And-Suites.h7858833.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=Branson+Yellow+Rose+Inn+and+Suites&&exp_dp=69&exp_ts=1522851103479&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,200643068,
,9671,1561,Branson Yellow Rose Inn and Suites,QQ Room ,Branson Yellow Rose Inn QQ,,200643067,TRUE
6,20071,652,Best Western Center Pointe Inn,QQ Room ,BW Center Pointe Inn QQ Dlx Interior,https://www.expedia.com/Branson-Hotels-Best-Western-Center-Pointe-Inn.h8236.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=best+western&&exp_dp=90.99&exp_ts=1522851122394&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,200994831,TRUE
